CONTROLE DE ENTRADA DE PAIS / RESPONSÁVEIS,,,,,
HORA,PAIS / RESPONSÁVEIS,ALUNO,SÉRIE/TURMA,DESTINO,AUTORIZADO POR
09:23,MARCA030 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 30,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
09:30,MARCA031 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 31,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
09:37,MARCA032 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 32,9º D,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
09:44,MARCA033 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 33,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
09:51,MARCA034 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 34,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
09:58,MARCA035 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 35,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
09:05,MARCA036 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 36,9º D,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
10:12,MARCA037 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 37,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
10:19,MARCA038 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 38,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
10:26,MARCA039 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 39,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
10:33,MARCA040 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 40,9º D,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
10:40,MARCA041 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 41,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
10:47,MARCA042 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 42,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
10:54,MARCA043 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 43,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
10:01,MARCA044 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 44,9º D,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
10:08,MARCA045 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 45,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
10:15,MARCA046 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 46,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
10:22,MARCA047 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 47,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
10:29,MARCA048 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 48,9º D,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
11:36,MARCA049 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 49,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
11:43,MARCA050 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 50,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
11:50,MARCA051 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 51,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
11:57,MARCA052 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 52,9º D,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
11:04,MARCA053 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 53,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
11:11,MARCA054 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 54,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
11:18,MARCA055 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 55,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
11:25,MARCA056 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 56,9º D,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
11:32,MARCA057 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 57,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
11:39,MARCA058 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 58,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
11:46,MARCA059 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 59,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
11:53,MARCA060 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 60,9º D,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
12:00,MARCA061 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 61,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
12:07,MARCA062 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 62,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
12:14,MARCA063 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 63,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
12:21,MARCA064 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 64,9º D,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
12:28,MARCA065 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 65,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
12:35,MARCA066 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 66,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
12:42,MARCA067 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 67,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
12:49,MARCA068 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 68,9º D,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
12:56,MARCA069 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 69,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
12:03,MARCA070 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 70,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
12:10,MARCA071 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 71,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
12:17,MARCA072 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 72,9º D,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
13:24,MARCA073 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 73,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
13:31,MARCA074 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 74,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
13:38,MARCA075 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 75,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
13:45,MARCA076 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 76,9º D,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
13:52,MARCA077 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 77,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
13:59,MARCA078 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 78,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
13:06,MARCA079 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 79,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
13:13,MARCA080 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 80,9º D,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
13:20,MARCA081 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 81,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
13:27,MARCA082 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 82,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
13:34,MARCA083 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 83,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
13:41,MARCA084 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 84,9º D,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
